Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Imp Vol","20D His Vol"
$SPX|20210621|3475.00WC,$SPX,"3,475.00",+16.38%,683.10,686.85,690.60,0.00,0.00,unch,0,0,0.00,38.84%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3500.00WC,$SPX,"3,500.00",+15.78%,657.90,661.45,665.00,0.00,0.00,unch,0,0,0.00,37.27%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3525.00WC,$SPX,"3,525.00",+15.18%,634.00,637.75,641.50,0.00,0.00,unch,0,0,0.00,36.97%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3550.00WC,$SPX,"3,550.00",+14.58%,608.80,612.40,616.00,0.00,0.00,unch,0,0,0.00,35.45%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3575.00WC,$SPX,"3,575.00",+13.98%,585.10,588.85,592.60,0.00,0.00,unch,0,0,0.00,35.15%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3600.00WC,$SPX,"3,600.00",+13.38%,560.10,563.70,567.30,0.00,0.00,unch,0,0,0.00,33.77%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3625.00WC,$SPX,"3,625.00",+12.77%,535.90,539.45,543.00,0.00,0.00,unch,0,0,0.00,32.94%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3650.00WC,$SPX,"3,650.00",+12.17%,512.40,516.15,519.90,0.00,0.00,unch,0,0,0.00,32.61%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3675.00WC,$SPX,"3,675.00",+11.57%,487.70,491.00,494.30,0.00,0.00,unch,0,0,0.00,31.20%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3700.00WC,$SPX,"3,700.00",+10.97%,463.70,467.00,470.30,0.00,0.00,unch,0,0,0.00,30.40%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3725.00WC,$SPX,"3,725.00",+10.37%,440.00,443.25,446.50,0.00,0.00,unch,0,0,0.00,29.67%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3750.00WC,$SPX,"3,750.00",+9.77%,416.70,420.45,424.20,0.00,0.00,unch,0,0,0.00,29.31%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3775.00WC,$SPX,"3,775.00",+9.16%,392.80,396.20,399.60,0.00,0.00,unch,0,0,0.00,28.23%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3800.00WC,$SPX,"3,800.00",+8.56%,372.70,373.35,374.00,0.00,0.00,unch,0,0,0.00,27.69%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3825.00WC,$SPX,"3,825.00",+7.96%,349.40,350.10,350.80,0.00,0.00,unch,0,0,0.00,26.91%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3850.00WC,$SPX,"3,850.00",+7.36%,326.30,327.00,327.70,0.00,0.00,unch,0,0,0.00,26.11%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3875.00WC,$SPX,"3,875.00",+6.76%,303.50,304.20,304.90,0.00,0.00,unch,0,0,0.00,25.35%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3900.00WC,$SPX,"3,900.00",+6.16%,280.80,281.55,282.30,0.00,0.00,unch,0,0,0.00,24.55%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3925.00WC,$SPX,"3,925.00",+5.56%,258.40,259.15,259.90,0.00,0.00,unch,0,0,0.00,23.74%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3950.00WC,$SPX,"3,950.00",+4.95%,236.30,237.05,237.80,0.00,0.00,unch,0,0,0.00,22.93%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3960.00WC,$SPX,"3,960.00",+4.71%,227.60,228.35,229.10,0.00,0.00,unch,0,0,0.00,22.61%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3970.00WC,$SPX,"3,970.00",+4.47%,218.90,219.65,220.40,0.00,0.00,unch,0,0,0.00,22.28%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3975.00WC,$SPX,"3,975.00",+4.35%,214.60,215.35,216.10,0.00,0.00,unch,0,0,0.00,22.13%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3980.00WC,$SPX,"3,980.00",+4.23%,210.30,211.05,211.80,0.00,0.00,unch,0,0,0.00,21.96%,Call,31,06/21/21,N/A,15.25%,13.72%
