Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Imp Vol","20D His Vol"
$SPX|20210917|100.00WC,$SPX,100.00,+97.59%,"4,037.20","4,040.95","4,044.70",0.00,0.00,unch,0,0,0.00,287.12%,Call,119,09/17/21,N/A,15.25%,13.72%
$SPX|20210917|200.00WC,$SPX,200.00,+95.19%,"3,935.60","3,939.35","3,943.10",0.00,0.00,unch,0,0,0.00,208.09%,Call,119,09/17/21,N/A,15.25%,13.72%
$SPX|20210917|300.00WC,$SPX,300.00,+92.78%,"3,835.70","3,839.35","3,843.00",0.00,0.00,unch,0,0,0.00,178.26%,Call,119,09/17/21,N/A,15.25%,13.72%
$SPX|20210917|400.00WC,$SPX,400.00,+90.38%,"3,735.90","3,739.55","3,743.20",0.00,0.00,unch,0,0,0.00,159.90%,Call,119,09/17/21,N/A,15.25%,13.72%
$SPX|20210917|500.00WC,$SPX,500.00,+87.97%,"3,636.10","3,639.85","3,643.60",0.00,0.00,unch,0,0,0.00,146.70%,Call,119,09/17/21,N/A,15.25%,13.72%
$SPX|20210917|600.00WC,$SPX,600.00,+85.56%,"3,536.30","3,540.05","3,543.80",0.00,0.00,unch,0,0,0.00,135.24%,Call,119,09/17/21,N/A,15.25%,13.72%
$SPX|20210917|800.00WC,$SPX,800.00,+80.75%,"3,336.70","3,340.45","3,344.20",0.00,0.00,unch,0,0,0.00,117.25%,Call,119,09/17/21,N/A,15.25%,13.72%
$SPX|20210917|900.00WC,$SPX,900.00,+78.34%,"3,236.80","3,240.50","3,244.20",0.00,0.00,unch,0,0,0.00,109.19%,Call,119,09/17/21,N/A,15.25%,13.72%
$SPX|20210917|1000.00WC,$SPX,"1,000.00",+75.94%,"3,137.20","3,140.95","3,144.70",0.00,0.00,unch,0,0,0.00,103.70%,Call,119,09/17/21,N/A,15.25%,13.72%
$SPX|20210917|1100.00WC,$SPX,"1,100.00",+73.53%,"3,037.50","3,041.25","3,045.00",0.00,0.00,unch,0,0,0.00,98.02%,Call,119,09/17/21,N/A,15.25%,13.72%
